Date,PNL (OX),OX Balance,OX Value (USD),OX Perps Volume,Fees
2024-09-16,"+29,627,271","1,882,747,935","13,765,178.19","13,770,863,890",0
2024-09-15,"+25,387,920","1,644,855,218","12,865,711.90","4,645,485,706",0
2024-09-14,"+4,728,181","1,641,944,427","12,686,265.05","10,559,556,253",0
2024-09-13,"-41,447,166","1,670,168,521","12,695,098.41","9,969,827,029",0
2024-09-12,"-29,371,930","1,687,986,574","11,671,035.45","12,201,296,703",0
2024-09-11,"+15,901,446","1,704,724,336","9,889,409.60","11,099,513,723",0
2024-09-10,"-23,214,496","1,691,131,076","8,451,378.74","8,022,166,917",0
2024-09-09,"-102,294,969","1,746,881,025","6,959,755.99","6,202,980,341",0
2024-09-08,"-40,307,659","1,800,022,993","6,084,379.82","2,638,218,987",0
2024-09-07,"-31,274,786","1,808,465,044","5,704,165.28","9,081,780,766",0
2024-09-06,"+130,770,916","1,504,658,502","5,146,939.96","5,638,041,273",0
2024-09-05,"+69,383,426","1,401,737,025","5,398,345.73","2,341,560,515",0
2024-09-04,"-18,701,309","1,401,804,175","5,704,403.58","1,992,101,492",0
2024-09-03,"+57,139,564","1,351,262,050","5,810,522.89","1,146,144,328",0
2024-09-02,"-81,948,008","1,365,717,061","5,946,145.79","1,239,189,114",0
2024-09-01,"+64,569,172","1,365,408,936","5,769,784.15","1,018,281,073",0
2024-08-31,"+9,281,780","1,338,411,433","5,166,029.26","1,798,045,185",0
2024-08-30,"-5,454,517","1,343,283,208","5,039,246.16","1,593,530,897",0
2024-08-29,"+2,173,818","1,324,697,169","5,343,734.97","2,696,975,566",0
2024-08-28,"-21,562,396","1,279,469,257","5,377,302.33","2,037,200,128",0
2024-08-27,"+87,223,130","1,088,769,678","4,493,920.16","216,725,104",0
2024-08-26,"+34,256,269","1,053,973,639","4,211,466.88","125,528,402",0
2024-08-25,"-6,155,359","1,043,395,526","3,955,323.73","192,727,537",0
2024-08-24,"+810,606","1,040,824,764","4,126,454.35","1,132,338,310",0
2024-08-23,"-71,843,566","1,084,467,802","4,511,066.56","1,707,116,510",0
2024-08-22,"+6,943,534","1,111,617,153","4,875,901.28","1,316,642,105",0
2024-08-21,"-27,803,336","1,127,788,241","4,944,148.36","902,905,165",0
2024-08-20,"-6,869,724","1,121,206,757","5,135,463.74","681,686,514",0
2024-08-19,"+6,662,999","1,144,165,347","5,347,526.71","138,020,889",0
2024-08-18,"-4,637,061","1,125,687,680","5,111,447.94","573,446,813",0
2024-08-17,"-8,668,069","1,135,096,187","4,988,739.08","927,541,143",0
2024-08-16,"-109,276","1,099,370,873","4,755,471.52","1,304,340,938",0
2024-08-19,"+6,662,999","1,144,165,347","5,347,526.71","138,020,889",0
2024-08-18,"-4,637,061","1,125,687,680","5,111,447.94","573,446,813",0
2024-08-17,"-8,668,069","1,135,096,187","4,988,739.08","927,541,143",0
2024-08-16,"-109,276","1,099,370,873","4,755,471.52","1,304,340,938",0
